Tweet,Favourited,TweetDate,Tweetby,RetweetCount,Score,Photo
We need something that gums the system There must be a vulnerability that we can clo,FALSE,6/4/2020 17:15,DennisonBertram,0,-0.5,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
way to scrape footage of misconduct and file complaints viaw,FALSE,6/4/2020 17:11,r_ross_campbell,0,-2.25,https://pbs.twimg.com/profile_images/1176443467871834112/jnwTjPdo_normal.jpg
Heywe need help in fighting the police what can you do,FALSE,6/4/2020 17:03,DennisonBertram,0,-1.05,https://pbs.twimg.com/profile_images/1194291203581210625/ieVjorTb_normal.jpg
Do you all have any thing on the roadmap for a terms of service generator Maybe prompt me,FALSE,6/4/2020 2:03,billiamweard,0,-0.6,https://pbs.twimg.com/profile_images/1195870096402583557/60COfzt3_normal.jpg
They dont have the company I need to get in touch with Btwdoes this too and you would love this co,FALSE,6/3/2020 5:53,Melaniebrowder1,2,0.75,https://pbs.twimg.com/profile_images/1211892279293698049/PShItWuM_normal.jpg
TFW you mentionduring an interview and when the podcast comes out it features a miniinterview with ,FALSE,6/3/2020 5:53,Melaniebrowder1,3,0,https://pbs.twimg.com/profile_images/1212945746540027905/QazBzKOT_normal.jpg
is there a reason that the app isnt generating cards for Spotify Thanks,FALSE,6/3/2020 5:11,MrMathsMan1,0,1.2,https://pbs.twimg.com/profile_images/1226650237990817792/Fxyn-tBE_normal.jpg
please follow back or DM Thanks so much,FALSE,6/3/2020 2:11,DoNotPayLaw,0,1.6,https://pbs.twimg.com/profile_images/1236761857987313664/0rmctEHx_normal.jpg
your calling feature simply does not work Was very excited to try but now my money has been stolen,FALSE,6/2/2020 18:54,GeKinsman,0,0.85,https://pbs.twimg.com/profile_images/1245233978728161280/zxXO51wP_normal.jpg
please follow back We have DMed you,FALSE,6/2/2020 3:18,DoNotPayLaw,0,1,https://pbs.twimg.com/profile_images/1245449802860630016/g1wqXWdL_normal.jpg
yo why is my card still being charged a month after I unsubscribed,FALSE,6/1/2020 20:23,iWalkingCorpse,0,0,https://pbs.twimg.com/profile_images/1248798099973140481/4XbFHaLF_normal.jpg
awesome app I do have an issue though I cancelled my subscription onThe ap,FALSE,5/30/2020 21:10,saltedandhashed,0,-0.2,https://pbs.twimg.com/profile_images/1258702906997510146/n-mkXvDG_normal.jpg
Useto dispute it and you probably can avoid paying the fine,FALSE,5/29/2020 20:57,zepy32,0,-1,https://pbs.twimg.com/profile_images/1260343618159681538/AcE-lYhj_normal.jpg
so theguys called with a Theory why im being charged after canceling Saying I hadaccounts  see scre,FALSE,5/29/2020 15:21,StellarMarkete2,1,0,https://pbs.twimg.com/profile_images/1263855808800067585/Wbe4ui-Z_normal.jpg
Try out theapp They help catch robocallers with a burner credit card number then file,FALSE,5/29/2020 13:12,SkinnySC,0,-0.4,https://pbs.twimg.com/profile_images/1265355143849086976/5UoJfw-__normal.jpg
I tried to signup but the app wont go past this screen Am I doing something wrong Please help,FALSE,5/29/2020 0:37,maria64982261,0,-0.25,https://pbs.twimg.com/profile_images/1266005379563036673/4cm3GCCy_normal.jpg
Just talking w my robot lawyer on how I can get my unemployment benefits paid from two months ago Cool cool cool,FALSE,5/28/2020 19:44,haileyaway,0,0.9,https://pbs.twimg.com/profile_images/1266134638415818753/08ZrUKG8_normal.jpg
"So this has been hanging for quite some timeI wonder if everything is ok

Overall seems like",FALSE,5/28/2020 14:20,tek_homie,0,0.25,https://pbs.twimg.com/profile_images/378800000420418681/3b42595513443b803e3c118f4d8243c8_normal.jpeg
"Yoyou need to remove this DoNotPay scam app from your website Go look at the reviews on

This",FALSE,5/28/2020 7:00,FatCobra6,2,-0.75,https://pbs.twimg.com/profile_images/721887070000689152/zhufp_ea_normal.jpg
so theguys called with a Theory why im being charged after canceling Saying I hadaccounts  s,FALSE,5/28/2020 6:27,mypenplease,1,0,https://pbs.twimg.com/profile_images/758008372549525504/dNk28IvA_normal.jpg
remember when you guys stolefrom me when I tried to flee a pandemic I do,FALSE,5/28/2020 2:23,Jonda825,0,-1.75,https://pbs.twimg.com/profile_images/840676824472530946/0P094Ni-_normal.jpg
Sounds like a job for,FALSE,5/28/2020 1:03,JohnMcDPolitics,0,0.5,https://pbs.twimg.com/profile_images/890996101305688064/iQ1I6iQ3_normal.jpg
